latitude,longitude,place_id,street,city,state,zip,phone,store_id
40.643516,-75.4272803,ChIJT8ES5zE_xIkRClF-mJb84u0,"2434 Catasauqua Road, Shoppers Village",Bethlehem,PA,18018,610-868-5122,# 1036
40.6460579,-75.3454538,ChIJ1Zb4O-E_xIkR38GtLm85asc,2651 Easton Avenue,Bethlehem,PA,18017,610-865-3671,# 1311
40.6335275,-75.3678787,ChIJx4LlBbc_xIkRE4AC1BSmpbI,327 Woodlawn Avenue,Bethlehem,PA,18018,610-691-4460,# 1908
40.610779,-75.3827822,ChIJn-R2kF4-xIkRAVhEpT6qLAg,305 West Fourth Street,Bethlehem,PA,18015,610-691-4085,# 2459
40.6824244,-75.3881257,ChIJT-AU_IlAxIkRlzP_yxDuNhU,6050 Sterner's Way,Bethlehem,PA,18017,610-837-4220,# 5533
40.6328631,-75.396094,ChIJ66GBmAM_xIkRWFblIp9l6qg,1457 8th Avenue,Bethlehem,PA,18018,610-861-0152,# 820
41.0936041,-75.592175,ChIJc302yd77xIkRjSd7WtuHV6M,5674 Route 115,Blakeslee,PA,18610,570-643-7286,# 2262
40.4523713,-75.8917664,ChIJ-4OOeYLXxYkRl3YHI_46t3o,8565 Allentown Pike,Blandon,PA,19510,610-916-2499,# 5065
41.0303885,-76.3458103,ChIJ35Ag-fODxYkRoWw5YOtyslY,823 New Berwick Highway,Bloomsburg,PA,17815,570-784-8061,# 1590
40.1492296,-75.307736,ChIJJ39ZPRC9xokRwNkIQ8fWaSk,1799 Dekalb Pike,Blue Bell,PA,19422,610-239-1681,# 3011
40.1661562,-75.2911915,Eik5MjkgRGVrYWxiIFBpa2UsIEJsdWUgQmVsbCwgUEEgMTk0MjIsIFVTQSIxEi8KFAoSCcn3l9fZvMaJEctVhnzeGebIEKEHKhQKEgnhfgfI1rzGiREV_XoPYf9mpw,"929 Dekalb Pike, At Skippack Pike",Blue Bell,PA,19422,610-292-2142,# 3799
39.8398967,-75.4421421,ChIJJx1Mb9HlxokRFJNYTuiG9Tw,"3601 Chichester Rd, Suite 105",Boothwyn,PA,19061,610-497-2194,# 2000
40.3288567,-75.6242396,ChIJlwSELmOBxokR9E6GNZibiqk,"801 E. Philadelphia Ave., Unit 1",Boyertown,PA,19512,610-369-9375,# 1310
41.956857,-78.644528,ChIJQbG6FjCAzYkRjrN1e6mZdY8,10 Davis St,Bradford,PA,16701,814-362-4559,# 4270
40.924537,-75.3937949,ChIJN7NbuItexIkRIrBJmDBMg60,"Rt. 115 And 209, Hc2, Box 1120",Brodheadsville,PA,18322,570-992-6454,# 1320
39.8691971,-75.3834355,ChIJMyDuIX_oxokR78LzyogUjgc,3298 Edgemont Ave.,Brookhaven,PA,19015,610-876-5100,# 903
39.9818149,-75.3578877,ChIJ6wgVzWPqxokRsgmlMjM5XsI,"2507 W. Chester Pike, Corner Of Church Lane",Broomall,PA,19008,610-325-5301,# 2756
39.9599164,-75.3554056,ChIJSXewNhLqxokR5K85r_ZxgGM,1991 Sproul Rd.,Broomall,PA,19008,610-325-8422,# 5462
40.0253842,-75.3271427,ChIJpe4jLPe_xokRFwnTImIMbw0,1218 E. Lancaster Ave,Bryn-Mawr,PA,19010,610-519-1920,# 6902
40.6324025,-77.5712108,ChIJX_7BZWa1zokRaEDNpQELrLE,404 N. Logan Blvd.,Burnham,PA,17009,717-248-3991,# 1687
40.8755875,-79.941474,ChIJi2ICCSJ9M4gR86mP0vwl_o8,200 Butler Commons,Butler,PA,16001,,# 16752
40.2308512,-76.8928195,ChIJocw3ZcDByIkROB53j7lxPjk,1116 Carlisle Rd.,Camp Hill,PA,17011,717-612-5062,# 1630
41.5669471,-75.5120975,ChIJEcnGJOzNxIkRLeHq5PjJKfw,"88 Brooklyn Street, Westside Shopping Mall",Carbondale,PA,18407,570-282-1650,# 1600
40.1919351,-77.1942552,ChIJIc1HnNjhyIkR0D0u_nzwV1w,765 South West Street,Carlisle,PA,17013,717-243-1384,# 1646
40.197608,-77.1556389,ChIJXVsuQKzhyIkRo-Ug6zk9zxI,246 Westminster Dr,Carlisle,PA,17013,,# 17185
40.4102615,-80.0819384,ChIJe_2opcz3NIgRGZCB0k1redQ,401 Chestnut St.,Carnegie,PA,15106,412-279-5020,# 3999
40.2783053,-75.2145863,ChIJ_-btFuWmxokRqmMU7kbLjYc,298 West Butler Pike,Chalfont,PA,18914,215-822-5383,# 2458
40.2439324,-75.1909254,ChIJ-fe_DHimxokRxu0vDn55w3o,3265 County Line Rd.,Chalfont,PA,18914,215-996-9809,# 5241
39.9350602,-77.6642607,ChIJNxnavNKdyYkRZk8gE3Uhfys,125 West Washington St.,Chambersburg,PA,17201,717-263-9893,# 1649
39.9430631,-77.6320215,ChIJN3-FNGieyYkR6es8gzWuv_g,913 Norland Ave,Chambersburg,PA,17201,,# 17317
39.9156638,-77.6556259,ChIJc78r9yCcyYkRGL9WkGWFSpw,840 Wayne Avenue,Chambersburg,PA,17201,717-263-6788,# 1918
40.0504773,-75.1174222,Ei40NSBDaGVsdGVuaGFtIEF2ZSwgUGhpbGFkZWxwaGlhLCBQQSAxOTEyMCwgVVNBIjASLgoUChIJMQR2sBm3xokRmbdA4Odl8VYQLSoUChIJV6lMpBm3xokRHOSQIZUUV_M,"45 Cheltenham Ave,",Cheltenham,PA,19012,215-782-1501,# 958
40.0288039,-75.6294693,ChIJ_UqT1YT0xokRZjzHgs0FugM,104 N. Pottstown Pike,Chester Springs,PA,19425,610-458-3401,# 2951
41.213148,-79.3820791,ChIJK9Hi7jQzM4gRnYZKhr3Ijck,700 Main Street,Clarion,PA,16214,814-226-7100,# 1680
41.4957016,-75.7059826,ChIJD8QvsgPYxIkRbhJmF4uAtFU,101 North State Street,Clarks Summit,PA,18411,570-587-1205,# 1597
41.0269414,-78.4365591,ChIJq4bFxoVCzIkRCCgbnNCfw2Y,3035 Park Place,Clearfield,PA,16830,814-765-1241,# 1685
40.0075379,-75.7891991,ChIJz8zcNbdexokRJyEGTO3eK70,101 Reecesville Rd,Coatesville,PA,19320,610-466-7166,# 1805
40.1801493,-75.4565941,ChIJtYeBy7-QxokRXnHWrFFHt3I,55 Park Ave.,Collegeville,PA,19426,610-409-2604,# 2688
40.0355727,-76.4977857,ChIJqXKIQwOdyIkRpZidQ2NHhMA,615 Locust Street,Columbia,PA,17512,717-684-6361,# 1670
40.0782542,-75.3014032,ChIJpffeRGe-xokRWu3GaqDuaY8,613 Fayette St.,Conshohocken,PA,19428,610-238-4763,# 3252
40.5178028,-75.387818,ChIJBx6YHig9xIkRBIsa7PbUAg0,7001 North Highway 309,Coopersburg,PA,18036,610-282-4104,# 1093
41.9339882,-79.6536753,ChIJV3otHVejMogR-ub9f2fo41s,330 W. Columbus Ave.,Corry,PA,16407,814-664-2617,# 5098
40.6885494,-80.0845715,ChIJrb5iUAmINIgRiPTi3AActmk,1717 Route 228,Cranberry Township,PA,16066,,# 16607
40.6826471,-80.1244517,ChIJ83JZwcZiNIgRE43fiE9Lz5I,1181 Freedom Rd.,Cranberry Township,PA,16066,724-742-1888,# 4029
41.1699027,-75.2715127,ChIJlXhugbWTxIkRzz8UVqDKn6M,958 Route 390,Cresco,PA,18326,570-595-7131,# 1270
40.0948233,-74.9054497,ChIJ96ZIkrBNwYkRUDit89hP8Kc,"901 Bristol Pike, Corner Of Newportville Road",Croydon,PA,19021,215-785-6345,# 2880
41.3374374,-75.9627435,ChIJD0vqOFkWxYkReG_SpvnFgac,5 Church Street,Dallas,PA,18612,570-675-1076,# 1594
40.9654594,-76.6165684,ChIJu0lz8zhlz4kR5fj3cQUTtg8,1101 Mill St.,Danville,PA,17821,570-275-1811,# 1582
41.4694649,-75.6087604,ChIJf2MJZBfaxIkR4fQa9nl-HyE,1600 Main St.,Dickson City,PA,18519,570-383-3211,# 1615
41.4676567,-75.6388112,ChIJCSoTYZTZxIkRHrQZ-HJX5V0,1140 Commerce Blvd,Dickson City,PA,18519,,# 16806
40.2617796,-75.7293807,ChIJkw8vJW59xokRiAuKsPvp8MA,1149 Ben Franklin Hwy. West,Douglassville,PA,19518,610-385-4300,# 7838
39.9838538,-76.8253344,ChIJo7kd0MqMyIkRB_Qx2ch4Gyg,"3210 Carlisle Rd, Route 74/davidsburg Road",Dover,PA,17315,717-292-6665,# 6042
39.9996538,-75.7236111,ChIJE_IzaVBfxokR4S4N8Z9EX0g,"751 West Lancaster Avenue, Corner Of Lloyd Avenue",Downingtown,PA,19335,610-518-1841,# 2495
40.0287547,-75.6834895,ChIJtXAibQn1xokR-ZHv8PEInD8,599 Bell Tavern Blvd.,Downingtown,PA,19335,610-873-5480,# 3598
40.3410751,-75.1518475,ChIJdS8JAcsCxIkRXXLfXxmygSg,1456 Ferry Rd.,Doylestown,PA,18901,215-340-2613,# 2782
40.3061025,-75.1296822,ChIJk2cKyCKoxokRP1lF2vwmoTs,160 S. Main St.,Doylestown,PA,18901,215-230-1690,# 7863
40.3330885,-75.1331486,ChIJYdSZTr4CxIkRGjA0R3HRg4k,4361 Swamp Road,Doylestown,PA,18901,215-348-7803,# 956
40.1432046,-75.1694041,ChIJEeykVLy6xokRkPXMOXLdyzI,1678 Susquehanna Rd.,Dresher,PA,19025,215-628-2712,# 7253
39.9564795,-75.3218585,ChIJ-_qFr-vBxokRwkw5sQsTf30,5001 Township Line Road,Drexel Hill,PA,19026,610-853-2962,# 1296
39.9594903,-75.2882701,ChIJDxKsDgzBxokR4JTHOZBc15g,802 Lansdowne Avenue,Drexel Hill,PA,19026,610-853-6018,# 2408
41.1285896,-78.7632946,ChIJC-ImNuLzzIkRP0esS18qDpU,405 W. Dubois Ave.,Dubois,PA,15801,814-371-9480,# 5709
41.4180575,-75.6339959,ChIJOVbGtU_ZxIkR6ly56t7T28g,347-349 Blakely Street,Dunmore,PA,18512,570-342-9138,# 1612
40.7084551,-75.2772088,ChIJ1y1gVLlrxIkR5tvJL33ue1Q,3519 Nazareth Rd,Easton,PA,18045,610-258-3961,# 1305
40.7127184,-75.2849551,ChIJYdymubdrxIkRfjAoAyvogWs,3835 Dryland Way,Easton,PA,18045,,# 17563
40.6489231,-75.299579,ChIJJTqF1ygVxIkRiQrbzU5x3WQ,4950 Freemansburg Ave.,Easton,PA,18045,610-694-8871,# 1787
40.7133066,-75.2195487,ChIJ27LBiDxsxIkRAKQZD5AetoU,215 Town Center Blvd.,Easton,PA,18040,610-250-3651,# 3617
40.6767056,-75.2117225,ChIJAVmojvpsxIkRvSzDlq9mnhE,620 Old Philadelphia Rd.,Easton,PA,18042,610-559-2630,# 7670
40.6893032,-75.2325461,ChIJaQBNRWJsxIkRqmVeI6BePY0,1520 Northampton Street,Easton,PA,18042,610-252-8530,# 960
40.9951261,-75.1820801,ChIJ09K34V6IxIkRoWLNCnLfhLM,250 S. Courtland St.,East Stroudsburg,PA,18301,570-424-0830,# 1309
41.0625277,-75.07146,ChIJ51nC9YeExIkR-2QpZToeD0M,239 Fox Run Lane,East Stroudsburg,PA,18302,570-223-6892,# 2002
41.0544704,-75.0933264,ChIJyYrAJ0WExIkRvIH5A-8Buys,5122 Milford Rd.,East Stroudsburg,PA,18302,570-223-2563,# 3998
41.875533,-80.1310319,ChIJWaUPNEphMogRj-QnVR_y5_A,124 Erie St.,Edinboro,PA,16412,814-734-5207,# 5095
40.9774179,-75.44476,ChIJB2qWSrdYxIkRN1Z6gkeY0Fc,3192 Route 115,Effort,PA,18330,570-688-2302,# 3062
40.1396532,-76.5866801,ChIJyQgfYfyYyIkRcVMS2ylD0sI,1575 South Market Street,Elizabethtown,PA,17022,717-367-2173,# 1672
40.5581139,-76.7892825,Eiw0Njg2IFVTLTIwOSBjLCBFbGl6YWJldGh2aWxsZSwgUEEgMTcwMjMsIFVTQSIdGhsKFgoUChIJWceCUvhKz4kRNFf-aySmVwISAWM,"4686 Rte 209, Lykens Valley S/c",Elizabethville,PA,17023,717-362-9018,# 1640
40.8608643,-80.2876617,ChIJZ64ZAfB3NIgRywRI2nDrze8,120 5th Street,Ellwood City,PA,16117,724-752-2588,# 5710
40.531659,-75.4988706,ChIJMS_1tcg6xIkRFjmELUFIXok,702 Chestnut St.,Emmaus,PA,18049,610-965-5980,# 1178
40.2869097,-76.9475171,ChIJnTsa85HDyIkRbHKKKhpGP-0,744 Wertzville Rd,Enola,PA,17025,717-728-4701,# 2321
40.1957763,-76.1715359,ChIJL-82RBsUxokRwayzsHMoo_I,440 N. Reading Rd.,Ephrata,PA,17522,717-733-1818,# 5721
40.0974408,-75.2124437,ChIJj0OmjM-7xokRENdVWVwXjF0,920 Bethlehem Pike,Erdenheim,PA,19038,215-233-4485,# 791
42.1201389,-80.1115803,ChIJWUEKI_d_MogRNOhHb6rmr9g,1216 West 6th St,Erie,PA,16507,814-844-6265,# 11421
42.0549281,-80.0950451,ChIJJ7LeNqaAMogR9mWfMoJeFZs,6700 Peach St,Erie,PA,16509,,# 16631
42.0741477,-80.1445156,ChIJlVMXQPZ-MogR19Z-J_avEg0,3750 Sterrettania Road,Erie,PA,16506,814-835-4984,# 2346
42.1005894,-80.1453753,ChIJa7O5qAl_MogRtacxN4reSlo,1111 Peninsula Dr.,Erie,PA,16505,814-833-4354,# 2678
42.1079664,-80.0496066,ChIJ0Z9Hkc2BMogRqCTmayqE2z8,3800 Pine Ave,Erie,PA,16504,814-825-1564,# 3168
42.1272419,-80.0723943,ChIJp0rzT9x_LYgR71-J5IrVP8M,410 East 12th Street,Erie,PA,16503,814-456-7071,# 4082
42.0996888,-80.1057356,ChIJbQ62b9x_MogRUFsjvJij_M0,1535 West 26th Street,Erie,PA,16508,814-461-1215,# 7684
41.3256265,-75.8100865,ChIJr8L7ns0YxYkRIGlfcn2kKl0,960 Wyoming Ave.,Exeter,PA,18643,570-654-7422,# 1616
40.0307403,-75.630956,ChIJkR5QE4X0xokR9mRm3UGXKcs,141 West Lincoln Hwy,Exton,PA,19341,610-363-1008,# 10694
40.0391607,-75.6286283,ChIJp9Wjd6L0xokRmQH4Jwf6j1w,201 Sunrise Blvd,Exton,PA,19341,,# 16498
40.0520386,-75.6660871,ChIJX4kDatj0xokRmotxgbsaduw,180 Eagleview Blvd,Exton,PA,19341,,# 17542
40.0609307,-75.6540388,ChIJI862Fc30xokR6jyIdv5kAMs,105 E. Uwchlan Ave.,Exton,PA,19341,610-594-1931,# 2687
40.1695647,-74.8510784,ChIJHYOQRG1RwYkRSS7AFdiM9OE,504 S Oxford Valley Rd,Fairless Hills,PA,19030,215-945-5720,# 295
40.1471167,-74.995074,ChIJWXWkPGatxokR2EYW-tHcdtg,298 East Street Road,Feasterville,PA,19053,215-942-5141,# 2524
39.8968667,-75.3145241,ChIJ6_zoo_XCxokRQ3PzobNzLm0,1937 Macdade Blvd,Folsom,PA,19033,610-237-1302,# 2867
40.0396505,-75.5512331,ChIJ21a2A8jyxokR1zKXRoxRm48,335 Lancaster Ave.,Frazer,PA,19355,610-240-7871,# 5064
41.0166674,-75.8977347,ChIJ0ekM73ioxYkRiLWOJac_6U4,500 Centre St,Freeland,PA,18224,570-636-2520,# 10128
39.8422656,-77.2011729,ChIJW35B6KmsyYkRfxWhIneqwFY,1310 York Rd.,Gettysburg,PA,17325,717-337-2812,# 1921
40.6415947,-79.9420283,ChIJb6Q3XrWPNIgRJSWUKADqMtw,550 Grandview Crossing Dr,Gibsonia,PA,15044,,# 17336
40.2986991,-75.585252,ChIJkxVBBYaDxokRB3BaTD6bdP8,2000 Swamp Pike,Gilbertsville,PA,19525,610-705-4306,# 4773
39.8804646,-75.527488,ChIJE2CisFTlxokR-HJzZ42ES_8,600 Hatton Dr,Glen Mills,PA,19342,,# 17252
39.8793995,-75.529533,ChIJJXMNcK_7xokR9aCaZx2rSFg,100 Maris Grove Way,Glen Mills,PA,19342,610-387-4540,# 48331
39.8857992,-75.5290253,ChIJIfJBCwDwxokRmQkXdW4RdhA,863 Baltimore Pike,Glen Mills,PA,19342,610-361-2822,# 4984
39.9070035,-75.2867777,ChIJwyEwpLHDxokRii9JLdjKfhk,159 N. Macdade Blvd.,Glenolden,PA,19036,610-522-0600,# 675
40.1138047,-75.1544013,ChIJn-tR_oGwxokRQI6HCN8JuN8,2622 Jenkintown Road,Glenside,PA,19038,215-887-6122,# 919
39.7917133,-77.7313931,ChIJzdW9lTqQyYkRKnz0NjlWMm8,305 W. Baltimore St.,Greencastle,PA,17225,717-593-0170,# 142
40.3016591,-79.5240738,ChIJ5eyf0jfQNIgRQuCGoIxXqyY,806 East Pittsburgh St,Greensburg,PA,15601,724-836-7041,# 4115
41.3137351,-75.3180894,ChIJgbm4C06-xIkRyRjPyp4k65s,"657 Hamlin Hwy. Po Box 700, Route 191 And 590 Hamlin Corner",Hamlin,PA,18427,570-689-5011,# 748
39.8099786,-76.9897776,ChIJc-dANhhayIkRwlbvIDfHRVU,635 Carlisle St.,Hanover,PA,17331,717-637-5228,# 1653
39.8269239,-76.997607,ChIJ3eibjPBZyIkRQAMo2qrM_GE,31 Wilson Ave,Hanover,PA,17331,,# 17577
40.3071032,-76.8049915,Eiw1MDAxIEpvbmVzdG93biBSZCwgSGFycmlzYnVyZywgUEEgMTcxMTIsIFVTQSIxEi8KFAoSCROD0XyTuMiJEfZ0hBYRP1okEIknKhQKEgnrDujSDbDIiRFqkRDp5ewHng,5001 Jonestown Road,Harrisburg,PA,17112,717-545-4229,# 1624
40.3350113,-76.8411771,ChIJxZ-JaJrHyIkRq2zM7N6EyGQ,1600 Alexandra Lane,Harrisburg,PA,17110,717-545-9188,# 1641
40.3094557,-76.7985395,ChIJATdax-24yIkRnWKgM3B-jxc,5125 Jonestown Rd Ste 331,Harrisburg,PA,17112,,# 16602
40.246541,-76.8063183,ChIJTZtzYnO_yIkRjmyXK5vRd58,4600 High Pointe Blvd,Harrisburg,PA,17111,,# 17266
40.320571,-76.7868036,ChIJ63nuFla4yIkRGxRpCEyEErU,"6007 Allentown Blvd, Paxton Square",Harrisburg,PA,17112,717-540-5893,# 1917
40.2603457,-76.7762965,ChIJTzyLUN6-yIkR_5ZRozotBLs,"6301 Grayson Rd, Swatara Square S/c",Harrisburg,PA,17111,717-561-2658,# 1922
40.2573802,-76.8206482,ChIJveSe82O_yIkRWwEj6foSQQA,3865 Derry Street,Harrisburg,PA,17111,717-558-1601,# 2370
40.2984826,-76.8467352,ChIJsxXWr0fHyIkRKcHxff0DSRA,550 North Progress Ave.,Harrisburg,PA,17109,717-657-1149,# 8979
40.1725681,-75.0724762,ChIJSUCcBnKuxokRvkRxzPZtUtQ,"765 East County Line Rd.,",Hatboro,PA,19040,215-322-2443,# 4662
40.2719475,-75.2889648,ChIJs2KOCHShxokRCl7Sl7_-7vo,1530 Cowpath Rd.,Hatfield,PA,19440,215-361-2542,# 5762
39.9864459,-75.312474,ChIJX3lG0UjAxokRNAwtV2YwcKI,41 West Eagle Road,Havertown,PA,19083,610-853-1768,# 1237
39.9726062,-75.3147519,ChIJWWAvi7bBxokRDpFQXJjV3pI,1109 West Chester Pike/pep Boys Bldg,Havertown,PA,19083,610-446-5245,# 147
41.4759224,-75.1821189,ChIJUTz6sbSxxIkR3BxFApf-8AY,590 Palmyra Twnshp/rte 6/lake Region Ctr,Hawley,PA,18428,570-226-6550,# 53
40.9538309,-75.9812471,ChIJ5V7D1XGkxYkR9fBWD0F4OOo,"64 South Locust St.,",Hazleton,PA,18201,570-454-5521,# 1891
40.9804183,-75.9794784,ChIJO7EOYR2kxYkRmEjDepx5ejw,1185 N Church St.,Hazle Township,PA,18202,570-455-8301,# 1572
40.5884607,-75.3415655,ChIJEcNqCwI-xIkRZQjylhTrzt0,1332 Main Street,Hellertown,PA,18055,610-838-5611,# 2115
40.2777666,-76.6642384,ChIJPVxYgEK7yIkRB4XZq7wVvlY,130 Hockersville Road,Hershey,PA,17033,717-533-3364,# 1650
40.405161,-79.8908956,ChIJw9E97CbuNIgRjHKnN1_wOeQ,360 Waterfront Dr E,Homestead,PA,15120,,# 16601
41.5680465,-75.2528738,ChIJq7PDr5y0xIkRsJ4-4It7_KY,"202 4th St.,",Honesdale,PA,18431,570-253-1730,# 1587
40.1712886,-75.1293459,EiwxMDEgRWFzdG9uIFJkIGIsIFdpbGxvdyBHcm92ZSwgUEEgMTkwOTAsIFVTQSIdGhsKFgoUChIJZeHhlsGvxokR7-7yquplBHUSAWI,"101 Easton Rd., Suite B",Horsham,PA,19044,215-682-2016,# 1191
40.2653165,-76.7047453,ChIJ6Tkfqna8yIkRtBDcO_LpFHI,131 East Main Street,Hummelstown,PA,17036,717-566-3209,# 11040
40.1198309,-75.0689172,ChIJMZK6HY-xxokRfMDekn_gqfg,670 Welsh Rd.,Huntingdon Valley,PA,19006,215-938-8731,# 2110
40.6096397,-79.1893727,ChIJm-LefFJFy4kR-ZLmrLJUxGc,2501 Warren Rd,Indiana,PA,15701,724-349-5620,# 4000
40.2540247,-75.0886934,EiQyMTkzIFlvcmsgUmQsIEphbWlzb24sIFBBIDE4OTI5LCBVU0EiMRIvChQKEgmjE0wWFKnGiRFbDslMs5mxnxCRESoUChIJ1QgXRPuuxokRrR8HpxHL5tk,2193 York Rd,Jamison,PA,18929,215-491-7176,# 2040
40.1059032,-75.1236159,ChIJyefSuPGwxokRtUyjhAilC_E,835 Old York Rd.,Jenkintown,PA,19046,215-886-2923,# 1193
41.2015259,-77.2738742,ChIJKf-hRkX_zokRGEmm8NxDaHo,1321 Allegheny St.,Jersey-Shore,PA,17740,570-398-9861,# 6764
41.4874261,-78.6777225,ChIJSUFrRJgHzYkRi8ll_X7TvJI,236 Grant Street,Johnsonburg,PA,15845,814-965-2566,# 1686
40.3162412,-78.9561348,ChIJw1aXfOYWy4kR_KBtGSZmlYc,1650 Menoher Blvd.,Johnstown,PA,15905,814-255-2792,# 10249
40.2791779,-78.8627472,ChIJE4yHnWoQy4kR8K12sUPfz08,1198 Scalp Ave.,Johnstown,PA,15904,814-266-1454,# 10250
39.8620376,-75.6801721,ChIJW7Tanvf4xokR5qLbCi3npJg,870 E. Baltimore Pike,Kennett Square,PA,19348,610-444-9081,# 1074
40.0954635,-75.3661764,ChIJycvu3cKVxokR6H6aVL2icHw,160 W Dekalb Pike,King Of Prussia,PA,19406,,# 17585
40.0913769,-75.3584798,ChIJbQO1y-6VxokRZeyXGwKMeRQ,312 South Henderson Rd,King Of Prussia,PA,19406,610-205-1264,# 2481
